Tee,Nimi,Suurus,Muudetud
C:\Users\Kasutaja\VirtualBox VMs\windows 7 64\win7-sysprep-disk1.vdi,win7-sysprep-disk1.vdi,9.9 GB,2026-03-11 00:03:02
C:\Users\Kasutaja\VirtualBox VMs\Deb12NoGui\Deb12NoGui-disk001.vdi,Deb12NoGui-disk001.vdi,6.3 GB,2025-12-08 19:01:31
C:\Users\Kasutaja\VirtualBox VMs\LAMP\Deb12NoGui-disk001.vdi,Deb12NoGui-disk001.vdi,6.0 GB,2026-03-11 00:03:04
C:\Users\Kasutaja\VirtualBox VMs\NetBootClient\Deb12NoGui-disk001.vdi,Deb12NoGui-disk001.vdi,4.9 GB,2025-10-27 19:59:05
C:\Users\Kasutaja\VirtualBox VMs\Centreon\export-i-51630a6d26d68bc7t-disk-1.vdi,export-i-51630a6d26d68bc7t-disk-1.vdi,4.1 GB,2025-12-08 19:01:49
C:\Users\Kasutaja\VirtualBox VMs\Deb12NoGui 1\Deb12NoGui-disk001.vdi,Deb12NoGui-disk001.vdi,3.7 GB,2025-12-08 19:01:40
C:\Users\Kasutaja\VirtualBox VMs\Deb1210\Deb1210.vdi,Deb1210.vdi,2.7 GB,2026-03-10 13:07:42
C:\Users\Kasutaja\Desktop\TPT_2024_2025\LINUX\debi127uefi.iso,debi127uefi.iso,752.0 MB,2024-10-09 12:44:17
C:\Users\Kasutaja\Downloads\Rahvatants-Naisruhmad.mp4,Rahvatants-Naisruhmad.mp4,217.7 MB,2026-03-03 21:24:36
C:\Users\Kasutaja\Downloads\wetransfer_20251214_200547-jpg_2025-12-14_2219.zip,wetransfer_20251214_200547-jpg_2025-12-14_2219.zip,162.6 MB,2025-12-15 00:21:08
