"Tee","Nimi","Suurus"
"C:\Users\Lenovo\Downloads\SOFT\Backup 2024-12-12 113535\51ba2722-10ca-4926-ac70-f2cbdacbeb84.vhdx","51ba2722-10ca-4926-ac70-f2cbdacbeb84.vhdx","24.8 GB"
"C:\Users\Lenovo\VirtualBox VMs\WIN10-taristu\WIN10-taristu.vdi","WIN10-taristu.vdi","23.0 GB"
"C:\Users\Lenovo\VirtualBox VMs\Debian11\Debian11-disk001.vdi","Debian11-disk001.vdi","10.2 GB"
"C:\Users\Lenovo\VirtualBox VMs\Ubuntu - taristu\Ubuntu - taristu.vdi","Ubuntu - taristu.vdi","9.3 GB"
"C:\Users\Lenovo\Downloads\SOFT\SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO","SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO","6.5 GB"
"C:\Users\Lenovo\OneDrive - Tallinn Polytechnic School\SOFT\SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO","SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO","6.5 GB"
"C:\Users\Lenovo\VirtualBox VMs\20250415_Rasbian_GUI\Deb12NoGui-disk001.vdi","Deb12NoGui-disk001.vdi","6.4 GB"
"C:\Users\Lenovo\VirtualBox VMs\Centreon\export-i-51630a6d26d68bc7t-disk-1.vdi","export-i-51630a6d26d68bc7t-disk-1.vdi","6.0 GB"
"C:\Users\Lenovo\Downloads\SOFT\ubuntu-24.04.3-desktop-amd64.iso","ubuntu-24.04.3-desktop-amd64.iso","5.9 GB"
"C:\Users\Lenovo\Downloads\SOFT\SW_DVD9_Win_Server_STD_CORE_2022_2108.36_64Bit_English_DC_STD_MLF_X23-80100.ISO","SW_DVD9_Win_Server_STD_CORE_2022_2108.36_64Bit_English_DC_STD_MLF_X23-80100.ISO","5.6 GB"
